,Date,LocationNo,SalesFloorSize,total_Income,total_IncomePerSqFt,total_PurchasesCash,total_PurchasesOther,total_CostOfGoodsSold,total_GrossProfit,total_GrossProfitPerSqFt,total_NetIncomeLoss
201,2009-03-01,00014,5936,117308.0,19.762129,22478.0,18243.0,43799.0,73509.0,12.383591,4314.0
202,2009-03-01,00015,9276,231744.0,24.983182,31831.0,31782.0,70026.0,161718.0,17.434023,36603.0
203,2009-03-01,00016,7025,104001.0,14.804412,16824.0,11610.0,40958.0,63043.0,8.974092,-14105.0
204,2009-03-01,00017,8176,279760.0,34.217221,39634.0,39644.0,80249.0,199511.0,24.40203,62229.0
205,2009-03-01,00018,7977,210463.0,26.383728,31999.0,21768.0,60719.0,149744.0,18.771969,35707.0
206,2009-03-01,00019,5677,146952.0,25.885502,25979.0,15174.0,53893.0,93059.0,16.392284,10450.0
207,2009-03-01,00020,8966,206448.0,23.025652,26658.0,37183.0,81853.0,124595.0,13.896386,-347.0
208,2009-03-01,00021,8329,142045.0,17.054268,20416.0,21872.0,51721.0,90324.0,10.844519,8888.0
209,2009-03-01,00022,6026,213299.0,35.396448,28584.0,31531.0,68621.0,144678.0,24.008961,18898.0
210,2009-03-01,00023,3919,166141.0,42.393722,32181.0,20549.0,59309.0,106832.0,27.260015,14031.0
211,2009-03-01,00024,6673,177226.0,26.558669,28996.0,30954.0,62312.0,114914.0,17.22074,19628.0
212,2009-03-01,00025,6742,168998.0,25.066449,21604.0,24945.0,54123.0,114875.0,17.038712,20413.0
213,2009-03-01,00026,5248,242921.0,46.2883,44394.0,25160.0,85011.0,157910.0,30.089557,37034.0
214,2009-03-01,00029,6351,190658.0,30.020154,24885.0,24106.0,67087.0,123571.0,19.456935,14243.0
215,2009-03-01,00030,7046,175020.0,24.839625,28732.0,19831.0,61585.0,113435.0,16.099205,22588.0
216,2009-03-01,00031,7971,245221.0,30.764145,39501.0,30783.0,71685.0,173536.0,21.770919,57233.0
217,2009-03-01,00032,6372,134942.0,21.177338,26218.0,15820.0,50495.0,84447.0,13.252824,2516.0
218,2009-03-01,00033,8448,204870.0,24.25071,32571.0,23739.0,62898.0,141972.0,16.805397,37212.0
219,2009-03-01,00034,6875,237948.0,34.610618,37519.0,29946.0,77529.0,160419.0,23.333672,37791.0
220,2009-03-01,00035,7588,191870.0,25.285977,29192.0,22077.0,61663.0,130207.0,17.159594,31526.0
221,2009-03-01,00036,7452,141991.0,19.054079,23227.0,16237.0,49938.0,92053.0,12.352791,9640.0
222,2009-03-01,00037,6602,151815.0,22.995304,27853.0,34716.0,52954.0,98861.0,14.974401,1114.0
223,2009-03-01,00038,6850,209684.0,30.610802,42496.0,21004.0,69424.0,140260.0,20.475912,27694.0
224,2009-03-01,00039,7007,204632.0,29.203938,36221.0,14767.0,61813.0,142819.0,20.382331,32824.0
225,2009-03-01,00040,6663,192736.0,28.926309,32937.0,18405.0,66256.0,126480.0,18.98244,30635.0
226,2009-03-01,00041,6351,138173.0,21.756101,19346.0,17819.0,48461.0,89712.0,14.125649,10358.0
227,2009-03-01,00043,7085,151816.0,21.427805,22402.0,21756.0,50035.0,101781.0,14.365702,14977.0
228,2009-03-01,00044,7173,146417.0,20.41224,23835.0,23184.0,50148.0,96269.0,13.421023,-14780.0
229,2009-03-01,00045,8970,206571.0,23.029096,36939.0,22503.0,71844.0,134727.0,15.019732,29153.0
230,2009-03-01,00046,7059,131967.0,18.694857,25305.0,17466.0,46373.0,85594.0,12.125513,-27072.0
231,2009-03-01,00047,9874,235386.0,23.838971,38357.0,25200.0,81313.0,154073.0,15.603909,18197.0
232,2009-03-01,00048,4043,165514.0,40.938412,30467.0,21632.0,57792.0,107722.0,26.644076,-233.0
